layer,position,p10,p50,p90,mean,std
1,0,9.765181827545167,16.263941764831543,55.203689861297605,24.087994519575602,16.837028864783292
1,1,4.064598464965821,9.063663005828857,33.08338680267334,14.532299407919249,11.370616814253365
1,2,2.870207309722901,6.777554988861084,23.204341888427734,10.804749065902499,8.88496936488293
1,3,2.5080854415893556,6.945964813232422,25.87701053619384,11.09189597238269,9.639762359079047
1,4,2.08360071182251,6.190706253051758,21.82265996932983,9.64927698995918,8.387200757029767
1,5,1.936020088195801,6.16817569732666,22.83741111755371,9.631821747149031,8.68166665980462
1,6,1.8590307235717773,5.960750579833984,20.46361389160156,9.008969633057713,8.109991419048216
1,7,1.724080276489258,5.92646336555481,21.56577310562133,9.002159732646412,8.368037005791582
1,8,1.734281349182129,5.694090843200684,20.277520608901977,8.619882744881842,7.964584611016728
1,9,1.4067783355712893,5.250463485717773,20.49486389160156,8.292523225181633,7.9511710903113
1,10,1.3539831161499023,5.268060684204102,20.426249074935914,8.20646989789274,7.867324500413459
1,11,1.3229185104370118,4.718087673187256,18.288271713256833,7.541430214386847,7.464140442192146
1,12,1.047145462036133,4.447360992431641,18.04142274856567,7.282805764331586,7.338037016492704
1,13,1.0252849578857421,4.037596702575684,17.043400275707242,6.727196975207577,6.97498364334211
1,14,0.975507926940918,3.9534149169921875,17.15828232765198,6.629342650738027,6.910463605117038
1,15,1.0306034088134766,4.119820594787598,17.753179931640624,6.91229474823508,7.139690370584262
1,16,1.0666263580322266,4.158402442932129,17.37400116920471,6.870948907219701,7.051888019506067
1,17,0.7656354904174806,3.836573839187622,16.252026188373566,6.399952609768758,7.017781471152553
1,18,0.8255931854248046,3.7829642295837402,16.443299388885496,6.45136092170659,7.012498581400348
1,19,0.7494842529296876,3.6707963943481445,16.04236187934875,6.153727107197046,6.720886174981075
1,20,0.6622882843017579,3.5780181884765625,15.625282859802246,6.023576981040339,6.68136001387283
1,21,0.47497329711914066,3.3102939128875732,14.890480947494504,5.697584384714977,6.442387513433171
1,22,0.5558820724487304,3.3401784896850586,15.298590505123135,5.9281408568099145,6.834760903743833
1,23,0.6515626907348633,3.5920143127441406,15.457013702392576,5.971877679156346,6.576329169957053
1,24,0.4423519134521486,3.365504503250122,15.439789426326751,5.894203494816191,6.77347922798422
1,25,0.6261601448059082,3.4247865676879883,14.47817058563232,5.6584899394296935,6.421405572265681
1,26,0.5632158279418945,3.6280202865600586,15.832646536827086,6.090999111783587,6.76578497279383
1,27,0.6232137680053711,3.6411352157592773,15.07048532962799,5.986948015492202,6.704557185585284
1,28,0.61336669921875,3.711688995361328,15.531924763321873,6.1473638383381894,6.800300552968676
1,29,0.6792774200439453,3.635995388031006,14.77206073403358,5.888678441817562,6.543122315164297
1,30,0.5712443351745606,3.4379844665527344,13.958581352233885,5.563850848256714,6.236748025167076
1,31,0.6475470542907715,3.6136302947998047,15.162549209594726,5.995446717673913,6.644615217821996
1,32,0.726034164428711,3.6133675575256348,15.279501748085021,6.082658375226375,6.854765601914495
1,33,0.8941558837890625,3.917541265487671,15.674226284027098,6.4059267414857946,6.911127316048441
1,34,0.8473140716552737,3.9981584548950195,15.468852353096008,6.440884630791843,6.911722622642997
1,35,0.9952022552490235,4.006575584411621,15.226021596789353,6.33768490202311,6.752125755367514
1,36,0.8983858108520508,3.8649864196777344,14.943135643005371,6.172343497015536,6.7227629998871
1,37,1.0595338821411135,4.0230817794799805,15.761315143108368,6.586205838107401,7.050200364676423
1,38,0.9648019790649415,3.731405735015869,14.608462464809417,6.0845047813177935,6.666703241504046
1,39,1.1660728454589844,4.196211814880371,15.822054624557488,6.715975353139349,7.025245409792648
2,0,2.539800739288331,16.214627534151077,30.814239472150803,17.13429089681297,9.32696956837055
2,1,2.124420928955079,11.612146377563477,22.888003778457637,12.673540699570957,8.537165943152948
2,2,4.584140872955323,11.905354738235474,21.28264503479004,12.849252605645193,7.590064430362867
2,3,3.9880502700805662,10.825973749160767,20.87205910682678,11.98760770669,7.69050773983506
2,4,4.374540400505066,10.82432222366333,20.133138144016264,11.986465161541062,7.41182904631422
2,5,4.035022926330567,10.030087947845459,19.875834369659422,11.377280382690433,7.338501814973471
2,6,4.4583402633667,10.214653491973877,19.852464103698725,11.630107211525448,7.2168200877941935
2,7,4.2090709686279295,9.716546058654785,19.758127784729,11.289232101329706,7.252088252194928
2,8,4.642967700958252,9.864526271820068,20.26543283462524,11.440059020494422,7.122919922302501
2,9,4.099421882629395,9.191246032714844,19.21110315322876,10.809674105757537,7.107232366705962
2,10,4.082998275756836,8.88432788848877,18.486624050140378,10.544397663993553,7.018568653431804
2,11,4.122106885910035,8.790006637573242,18.85673848986625,10.530526236009576,6.984310151427692
2,12,3.860545063018799,8.135576248168945,18.012957173585868,10.017129158804956,6.938595410146878
2,13,3.6094495773315436,7.8194475173950195,17.90153346061705,9.645937079866417,6.903857903281628
2,14,3.5823593139648438,7.590073585510254,17.65460624694824,9.437910250517954,6.858226239898582
2,15,3.240659713745117,7.14509391784668,16.863219070434564,9.02790801866601,6.860298456021379
2,16,3.2398930549621583,7.0717949867248535,17.44991154670715,9.038787796032718,6.893686994123029
2,17,3.4202278137207034,7.089801788330078,17.68462047576904,9.111663000015541,6.873311233194554
2,18,2.8345953941345217,6.583476543426514,17.432005977630613,8.529120239872071,6.910263295686128
2,19,2.7206193923950197,6.225646018981934,17.22628532648086,8.250950836166739,6.844125619899133
2,20,2.4825730323791504,6.119681358337402,17.180232691764825,8.152169644241738,6.902111384581246
2,21,2.3903264045715336,5.881949424743652,17.183943033218377,7.8897365006142195,6.8778506860636615
2,22,2.2623767852783203,5.636276721954346,16.17271925210952,7.741692908335891,6.8815118042974674
2,23,2.0819862842559815,5.470426559448242,16.43523041605949,7.582990066061417,6.878009405949608
2,24,1.741917991638184,5.064845561981201,16.237374114990235,7.184490848487864,6.95512358750934
2,25,1.7862400054931642,5.102535247802734,16.776041674613953,7.293494509396454,6.9461943512025535
2,26,1.4870634078979494,4.846773147583008,15.913952398300156,7.042412312395043,7.024396286639695
2,27,1.667655944824219,4.964478015899658,17.157148820161815,7.254002645157485,7.025499484565141
2,28,1.5592771530151368,4.769799709320068,16.160811781883236,7.005073246279628,6.9706512379690855
2,29,1.6288101196289062,4.846881866455078,16.356288599967954,7.083891965600972,7.029227534601085
2,30,1.4577415943145753,4.616595029830933,15.767102414369576,6.802534210292829,6.946698933202878
2,31,0.8809368133544924,4.182112216949463,15.58226894140243,6.435052292959558,7.020174642708402
2,32,0.7933816432952883,4.014557838439941,16.621821022033675,6.381620389645816,7.108813520617292
2,33,0.5912977218627931,3.9999513626098633,15.822044777870175,6.210955316178604,7.041224451438251
2,34,0.6668071746826174,3.968271255493164,16.108374547958373,6.310748696113006,7.1322578896061914
2,35,0.6356413841247559,4.014082670211792,17.06041977405548,6.311984545464317,7.136224384465464
2,36,0.5393911361694338,3.8463850021362305,16.351614105701447,6.138286262344983,7.097408431560841
2,37,0.3070125579833986,3.765340805053711,16.726591682434076,6.134540463350714,7.180313487913114
2,38,0.29273414611816406,3.774163007736206,16.235432338714595,6.153551673988502,7.1471794569863665
2,39,0.0,3.648953914642334,16.242084646224967,6.052144049604734,7.232861937955499
3,0,11.280087685585022,40.293774127960205,67.32018108367919,41.12846606446637,22.042054449879352
3,1,4.315306901931763,28.47676384449005,41.39849443435669,23.84813259026618,14.89898853593058
3,2,3.8144204139709474,25.269327640533447,36.84461154937744,21.304323494707546,13.143201436490747
3,3,3.826394891738892,22.251585841178894,35.75351991653442,19.52326240679456,12.180153369904763
3,4,3.3881669998168946,19.920348167419434,33.444546699523926,18.120039566953977,11.388548159660921
3,5,3.195190811157227,18.27583348751068,31.557223892211912,16.894567317532168,10.688208601231501
3,6,3.111547327041626,16.964067935943604,29.65407409667968,16.034676558872064,10.093574404789859
3,7,3.175248432159424,16.006968021392822,28.47959785461426,15.351755298177402,9.524450996604168
3,8,2.977511262893677,15.018752098083496,27.004978942871094,14.583686823182635,9.019840197576976
3,9,2.9239538192749026,14.068858742713928,25.59986686706543,13.722515288392703,8.46114197474273
3,10,2.8674981594085693,12.955636024475098,24.015679264068602,12.886199433671104,7.919905823592904
3,11,2.7235264778137207,12.339174747467041,22.689896011352538,12.283828922642602,7.553526398737064
3,12,2.5943671226501466,11.385148525238037,21.276823806762696,11.459288411670261,7.055290270715074
3,13,2.3144544124603272,10.499284744262695,19.763434600830077,10.675951985849274,6.62880375089249
3,14,2.3515119552612305,10.050552368164062,18.920290184020995,10.121237217651473,6.215868387020556
